,Participant,Condition,Music,mQoM,aware_body,aware_movement,aware_others_moving,Motion_seen,Motion_seen_Max
62,ADQ063,Hall,Bach,0.16008556496227652,Intermittently,Not aware of movement,Not aware of others' movement,0.10071421069968774,0.25070395118844313
63,ADQ064,Hall,Bach,0.047343898302619494,,,,0.09110035115956841,0.17127886515480642
64,ADQ065,Hall,Bach,,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09069736377024314,0.14113807810660545
65,ADQ066,Hall,Bach,0.14914906115779664,Rarely,Yes and I moved a normal amount,Yes and they moved a normal amount,0.0806960852085652,0.1020263796654502
66,ADR067,Hall,Bach,0.06593405052848593,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.07227874159656783,0.0968594624744415
67,ADR068,Hall,Bach,0.08765290984637694,Intermittently,Not aware of movement,Not aware of others' movement,,
68,ADR069,Hall,Bach,0.10005475639233619,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.09509738263036496,0.12416162501452181
69,ADR070,Hall,Bach,0.0644896992480318,Intermittently,Yes and I moved a normal amount,Yes and they moved more than usual,0.11272136409503478,0.16008556496227652
70,ADR071,Hall,Bach,0.069277680823833,Not at all,Not aware of movement,Not aware of others' movement,0.0924374205112018,0.0924374205112018
71,AEQ077,Hall,Bach,,Not at all,Not aware of movement,Not aware of others' movement,0.05740115578657068,0.06495943834397831
72,AEQ078,Hall,Bach,,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09458974833039419,0.10379163973622857
73,AEQ079,Hall,Bach,0.06535716322779304,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.07624411823726092,0.10042837752344742
74,AEQ080,Hall,Bach,0.06285388462307373,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.06750576918246702,0.0869030624976231
75,AEQ081,Hall,Bach,0.08187618931467108,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08585174412516056,0.10862609281437903
76,AEQ082,Hall,Bach,0.06572562337788788,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.09685234617379541,0.10862609281437903
77,AEQ083,Hall,Bach,0.07437734284181811,Continuously,Yes and I moved more than usual,Yes and they moved more than usual,0.0723650369688724,0.08187618931467108
78,AEQ084,Hall,Bach,,Rarely,Yes and I moved less than usual,Yes and they moved less than usual,0.06492343123791242,0.06535716322779304
79,AEQ085,Hall,Bach,0.11140795192090971,Rarely,Not aware of movement,Not aware of others' movement,,
80,AEQ086,Hall,Bach,0.042211727562372764,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,0.08401733608271923,0.11490860306584834
81,AEQ087,Hall,Bach,0.06723737202558508,Not at all,Not aware of movement,Not aware of others' movement,0.08739203291826486,0.13522696704083245
82,AEQ088,Hall,Bach,0.049842873229163046,Rarely,Not aware of movement,Not aware of others' movement,0.09634395019874921,0.09634395019874921
83,AEQ089,Hall,Bach,0.0869030624976231,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.05204539341551679,0.06285388462307373
84,AER090,Hall,Bach,0.10042837752344742,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09031446767084264,0.13522696704083245
85,BDQ092,Virtual,Bach,0.3217373331626884,Rarely,Yes and I moved less than usual,Not aware of others' movement,,
86,BDQ093,Virtual,Bach,,,,,,
87,BEQ095,Virtual,Bach,0.0982415681360341,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
88,BEQ096,Virtual,Bach,0.09054845528748483,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
89,BEQ097,Virtual,Bach,0.0809991957065489,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,,
90,BEQ098,Virtual,Bach,0.07656750115630609,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
91,BEQ099,Virtual,Bach,0.07255494312209926,Rarely,Yes and I moved less than usual,Not aware of others' movement,,
92,BEQ100,Virtual,Bach,0.07588090441923576,Rarely,Not aware of movement,Not aware of others' movement,,
