TIME,LABEL,Set,Movement,cues,Type,Gap,Rest,Connect,Voices_dec,Note_rate_dec,Drone,TextInc,Phr_end,Phr_begining,Elide,Sequence,Rubato,Rit,Fermata,Tempo_inc,Diminuendo,Fp/Fz,Cresc,Precision,end,OLDTIME,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
2946.93,37.99,2,3,1.0,breath,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2946.56,0.021148646253716052,0.0036573497493516084,-0.017491296504364442,0.096,0.0,-0.096,0.08170096562330519,0.08818297175094905,0.006482006127643866,0.05433798569824044,0.05418088285856748,-0.00015710283967296235
2964.51,41.25,2,3,1.0,drop,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2964.51,0.025382487243570413,0.00709080575075641,-0.018291681492814002,0.43600000000000005,0.0,-0.43600000000000005,0.07759366729512399,0.06747045588675221,-0.010123211408371774,0.05958830661236392,0.05211086372307738,-0.007477442889286534
3009.07,49.0,2,3,1.0,retreat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3009.07,0.08817184495452997,0.046933508257879515,-0.04123833669665045,0.348,0.064,-0.284,0.0852161685118463,0.07574783828457711,-0.009468330227269187,0.0595709794320714,0.05861680352554187,-0.0009541759065295335
3029.29,51.75,2,3,1.0,fade,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3028.03,0.014001779999409419,0.003311610418250078,-0.01069016958115934,0.152,0.0,-0.152,0.08123461161266558,0.08294818898808863,0.0017135773754230477,0.05765729912156714,0.0620451515541075,0.004387852432540362
3084.05,61.99,2,3,1.0,breath,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3083.92,0.14825542001032038,0.018548147037463658,-0.12970727297285672,0.18000000000000002,0.10400000000000001,-0.07600000000000001,0.08180639482542931,0.08144816971351938,-0.00035822511190992945,0.06178187806930656,0.059875138709765706,-0.001906739359540853
3098.08,65.13,2,3,1.0,retreat,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3098.08,0.0897056342434707,0.014898875245284205,-0.07480675899818649,0.6839999999999999,0.036,-0.6479999999999999,0.08852041622082213,0.08561810385884772,-0.002902312361974413,0.06468592014962694,0.06326723200314464,-0.0014186881464822998
3121.63,71.25,2,3,2.0,retreat,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3121.63,0.11083328501636416,0.019690450010340914,-0.09114283500602324,0.32399999999999995,0.0,-0.32399999999999995,0.08011721298678703,0.06582628444809638,-0.014290928538690656,0.058721954240569155,0.0548646958982987,-0.0038572583422704573
3142.6,75.99,2,3,1.0,halt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3142.27,0.04220001877223549,0.0028283141234254285,-0.03937170464881006,0.4720000000000001,0.0,-0.4720000000000001,0.0789807079045464,0.060603862516388406,-0.018376845388157988,0.05674099990458112,0.04773892390509269,-0.009002075999488428
3199.69,85.99,2,3,1.0,halt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3199.33,0.05099356548213448,0.006314014851150034,-0.04467955063098445,0.27999999999999997,0.004,-0.27599999999999997,0.0823710551707653,0.0796733403851992,-0.002697714785566102,0.05562871297116796,0.06028136404620118,0.0046526510750332165
3236.52,94.5,2,3,1.0,drop,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3236.37,0.05193448102037222,0.0226767147355472,-0.029257766284825022,0.34400000000000003,0.084,-0.26,0.0736571167456517,0.06588170264513428,-0.007775414100517422,0.05599562783580172,0.05779547512834118,0.0017998472925394582
3247.29,96.87,2,3,1.0,drop,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3247.17,0.02795035275084868,0.023268658269773958,-0.004681694481074722,0.13999999999999999,0.008,-0.13199999999999998,0.0682331550742876,0.08071221694514916,0.012479061870861563,0.055666286444812474,0.061249106484632346,0.005582820039819872
3266.45,100.5,2,3,0.0,end,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3266.45,0.004761832327356405,0.003597900578152558,-0.0011639317492038465,0.0,0.0,0.0,0.06714118264566198,0.07675348706128829,0.009612304415626313,0.05559975327532698,0.04836570070887043,-0.007234052566456546
